lang	worker	num_hits	quality	quality_syn	num_langs	goog
scn	5363	1	0.000	0.500	0	0.0
scn	5443	43	0.570	0.779	many	0.0
scn	5637	1	0.000	0.000	0	0.0
scn	3197	73	0.041	0.267	0	0.0
ga	1147	1	1.000	1.000	many	0.4
ga	2849	1	1.000	1.000	0	0.0
ga	4606	14	0.536	0.750	many	0.0
ga	3650	5	0.700	0.900	0	0.0
ga	2098	8	0.562	0.625	1	0.4
ga	2527	1	1.000	1.000	1	0.0
ga	4605	70	0.629	0.807	0	0.0
ga	696	45	0.589	0.689	0	0.5
ga	2529	221	0.658	0.767	1	0.491
ga	2528	1	0.500	0.500	1	0.45
ga	4709	34	0.632	0.765	1	0.0
ga	3257	1	1.000	1.000	0	0.443
ga	3830	4	0.375	0.500	1	0.0
ga	3831	14	0.786	0.964	many	0.0
ga	719	1	0.000	0.000	0	0.6
ga	3402	27	0.630	0.778	1	0.586
ga	4130	1	1.000	1.000	0	0.0
ga	4487	1	1.000	1.000	0	0.0
ga	292	5	0.200	0.400	1	0.0
ga	4489	1	1.000	1.000	1	0.0
ga	3829	28	0.714	0.786	0	0.667
ga	3828	11	0.636	0.727	0	0.517
ga	1920	6	0.833	0.917	1	0.0
ga	1921	1	0.000	0.000	1	0.0
ga	1922	26	0.673	0.712	0	0.3
ga	1923	2	0.750	0.750	1	0.4
ga	1924	5	0.800	0.800	0	0.65
ga	3672	1	0.000	0.000	0	0.0
ga	3673	1	1.000	1.000	0	0.0
ga	3670	4	0.750	1.000	1	0.0
ga	3671	4	0.750	0.750	1	0.0
ga	4658	1	0.500	1.000	1	0.0
ga	3674	1	1.000	1.000	1	0.0
ga	3675	1	1.000	1.000	1	0.475
ga	4129	1	1.000	1.000	1	0.0
ga	4047	1	0.000	0.000	1	0.0
ga	836	6	0.833	1.000	0	0.616
ga	4726	1	0.500	0.500	1	0.0
ga	4048	10	0.900	0.900	1	0.0
ga	3812	32	0.688	0.844	0	0.0
ga	3667	1	1.000	1.000	0	0.0
ga	3669	1	0.000	0.500	0	0.0
ga	3668	1	0.500	0.500	1	0.0
ga	2526	1	0.500	1.000	0	0.0
ga	3159	63	0.698	0.873	0	0.0
ga	1644	5	1.000	1.000	1	0.0
ga	3464	55	0.691	0.782	0	0.6
ga	4488	3	0.667	0.833	1	0.0
ga	3099	31	0.565	0.710	0	0.429
ga	4260	3	0.500	0.500	many	0.425
ga	4261	1	0.500	1.000	1	0.0
ga	4262	1	1.000	1.000	0	0.0
ga	4263	2	0.500	0.500	0	0.491
ga	4264	1	1.000	1.000	1	0.0
ga	4265	1	0.500	1.000	0	0.0
ga	4266	1	1.000	1.000	1	0.0
ga	2922	5	0.600	0.800	1	0.675
ga	3757	1	0.500	1.000	1	0.0
ga	850	3	0.333	0.333	0	0.4
ga	3455	10	0.700	0.800	many	0.6
ga	1919	216	0.616	0.699	1	0.0
ga	1918	10	0.700	0.950	1	0.0
ga	3524	15	0.667	0.800	many	0.0
ga	1911	90	0.717	0.839	0	0.663
ga	1910	25	0.600	0.680	0	0.6
ga	1913	12	0.542	0.750	1	0.631
ga	1912	4	0.750	0.750	many	0.5
ga	1914	1	0.000	0.500	0	0.2
ga	1917	5	0.800	1.000	1	0.0
ga	1916	7	0.357	0.429	0	0.429
ga	4171	11	0.682	0.864	0	0.617
ga	3373	5	0.600	0.700	many	0.6
ga	4070	1	0.000	0.000	0	0.0
ga	1104	135	0.619	0.730	1	0.0
ga	1105	1	0.500	0.500	1	0.6
